cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
15125,-34.30908,-19.01909,-15.28998,-6.49807,-8.21112,-0.58079,0.9461,17.96,0.0186,30.02,1.92,0.488,0.506,0.088,0.0099,0.0500
15150,-34.33036,-19.05227,-15.27809,-6.48370,-8.20020,-0.59419,0.9440,17.80,0.0184,30.26,1.60,0.488,0.506,0.088,0.0099,0.0500
15175,-34.37217,-19.07350,-15.29867,-6.50979,-8.20680,-0.58208,0.9478,18.11,0.0188,30.14,1.50,0.489,0.506,0.088,0.0099,0.0500
15200,-34.31815,-19.07156,-15.24659,-6.47900,-8.18712,-0.58047,0.9434,17.77,0.0184,30.11,1.48,0.489,0.506,0.088,0.0099,0.0500
15225,-34.31021,-19.02741,-15.28280,-6.51778,-8.20320,-0.56182,0.9490,17.56,0.0182,30.13,1.47,0.489,0.506,0.088,0.0099,0.0500
15250,-34.29344,-19.05251,-15.24093,-6.46538,-8.18732,-0.58823,0.9414,17.61,0.0183,30.15,1.56,0.489,0.506,0.088,0.0099,0.0500
15275,-34.31316,-19.04176,-15.27140,-6.49589,-8.19986,-0.57565,0.9458,17.65,0.0183,30.24,1.64,0.489,0.506,0.088,0.0099,0.0500
15300,-34.34089,-19.05703,-15.28386,-6.52563,-8.20061,-0.55762,0.9502,17.60,0.0182,30.18,1.62,0.489,0.506,0.088,0.0099,0.0500
15325,-34.32402,-19.03931,-15.28471,-6.49881,-8.21828,-0.56761,0.9462,17.47,0.0181,30.23,1.62,0.489,0.506,0.088,0.0099,0.0500
15350,-34.23147,-18.96720,-15.26427,-6.50142,-8.19013,-0.57273,0.9466,17.43,0.0181,30.15,1.55,0.489,0.506,0.088,0.0099,0.0500
15375,-34.34311,-19.06036,-15.28275,-6.50196,-8.20751,-0.57328,0.9467,17.51,0.0181,29.81,1.74,0.489,0.506,0.088,0.0099,0.0500
15400,-34.35773,-19.07754,-15.28019,-6.51827,-8.17061,-0.59132,0.9491,17.51,0.0181,29.97,1.39,0.489,0.506,0.088,0.0099,0.0500
15425,-34.37837,-19.08088,-15.29749,-6.48872,-8.22344,-0.58533,0.9448,17.17,0.0178,29.75,1.76,0.489,0.506,0.088,0.0099,0.0500
15450,-34.41726,-19.12641,-15.29084,-6.52427,-8.21232,-0.55425,0.9500,17.19,0.0178,29.77,1.61,0.489,0.506,0.088,0.0099,0.0500
15475,-34.30475,-19.03243,-15.27232,-6.49741,-8.19641,-0.57850,0.9460,17.46,0.0181,29.62,1.99,0.489,0.506,0.088,0.0099,0.0500
15500,-34.36797,-19.08246,-15.28551,-6.52017,-8.18452,-0.58082,0.9494,17.46,0.0181,29.62,2.08,0.489,0.506,0.088,0.0099,0.0500
15525,-34.42214,-19.10107,-15.32106,-6.52127,-8.21334,-0.58645,0.9495,17.33,0.0180,29.64,1.95,0.489,0.506,0.088,0.0099,0.0500
15550,-34.30657,-19.07333,-15.23324,-6.48100,-8.16240,-0.58984,0.9437,17.59,0.0182,29.52,2.36,0.489,0.506,0.088,0.0099,0.0500
15575,-34.37060,-19.07341,-15.29718,-6.53577,-8.20107,-0.56034,0.9516,17.32,0.0180,29.18,3.27,0.489,0.506,0.088,0.0099,0.0500
15600,-34.38896,-19.09911,-15.28986,-6.50370,-8.20899,-0.57716,0.9470,17.61,0.0183,29.40,3.35,0.489,0.506,0.088,0.0099,0.0500
15625,-34.38311,-19.08338,-15.29973,-6.51586,-8.21591,-0.56796,0.9487,17.57,0.0182,29.55,2.99,0.489,0.506,0.088,0.0099,0.0500
15650,-34.41693,-19.12870,-15.28823,-6.53484,-8.18042,-0.57297,0.9515,17.69,0.0183,29.31,3.21,0.489,0.506,0.088,0.0099,0.0500
15675,-34.40003,-19.13098,-15.26905,-6.49565,-8.19102,-0.58237,0.9458,-72.14,-0.0748,29.36,3.86,0.489,0.506,0.088,0.0099,0.0500
15700,-34.40578,-19.14681,-15.25897,-6.51451,-8.19394,-0.55052,0.9485,-72.19,-0.0748,29.48,3.12,0.489,0.506,0.088,0.0099,0.0500
15725,-34.42015,-19.17207,-15.24808,-6.47212,-8.18089,-0.59507,0.9424,-72.22,-0.0749,29.51,3.14,0.489,0.506,0.088,0.0099,0.0500
15750,-34.37588,-19.11849,-15.25739,-6.48518,-8.18064,-0.59157,0.9443,17.76,0.0184,29.41,2.82,0.489,0.506,0.088,0.0099,0.0500
15775,-34.36081,-19.10015,-15.26065,-6.49731,-8.17789,-0.58545,0.9460,17.74,0.0184,29.17,3.29,0.489,0.506,0.088,0.0099,0.0500
15800,-34.37214,-19.07768,-15.29446,-6.51544,-8.19956,-0.57946,0.9487,17.89,0.0185,29.22,3.31,0.489,0.506,0.088,0.0099,0.0500
15825,-34.35017,-19.07241,-15.27776,-6.50371,-8.21338,-0.56067,0.9470,17.83,0.0185,29.35,2.88,0.489,0.506,0.088,0.0099,0.0500
15850,-34.38835,-19.08036,-15.30799,-6.51406,-8.22560,-0.56833,0.9485,17.66,0.0183,29.57,2.93,0.489,0.506,0.088,0.0099,0.0500
15875,-34.36390,-19.08634,-15.27755,-6.53167,-8.18950,-0.55638,0.9510,17.72,0.0184,29.58,2.93,0.489,0.506,0.088,0.0099,0.0500
15900,-34.36289,-19.05299,-15.30989,-6.49107,-8.23343,-0.58539,0.9451,17.73,0.0184,29.50,2.47,0.489,0.506,0.088,0.0099,0.0500
15925,-34.34558,-19.10668,-15.23890,-6.45542,-8.19201,-0.59148,0.9399,17.62,0.0183,29.64,2.60,0.489,0.506,0.088,0.0099,0.0500
15950,-34.41386,-19.09834,-15.31552,-6.50247,-8.23835,-0.57470,0.9468,17.58,0.0182,29.62,2.59,0.489,0.506,0.088,0.0099,0.0500
15975,-34.35818,-19.08947,-15.26871,-6.50350,-8.19342,-0.57179,0.9469,17.49,0.0181,29.46,2.46,0.489,0.506,0.088,0.0099,0.0500
16000,-34.38746,-19.13593,-15.25153,-6.50380,-8.17339,-0.57434,0.9470,17.43,0.0181,29.41,2.40,0.489,0.506,0.093,0.0104,0.0500
