cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
11200,-41.44582,-21.43923,-20.00660,-6.59281,-12.91950,-0.49428,0.9599,115.76,0.0897,41.75,3.41,0.477,0.498,0.080,0.0090,0.0500
11225,-41.42652,-21.43237,-19.99416,-6.57471,-12.90880,-0.51065,0.9573,115.84,0.0897,41.82,3.34,0.477,0.498,0.080,0.0090,0.0500
11250,-41.48707,-21.50233,-19.98475,-6.59311,-12.90998,-0.48165,0.9600,115.80,0.0897,40.97,3.87,0.477,0.498,0.080,0.0090,0.0500
11275,-41.48992,-21.49658,-19.99334,-6.59877,-12.91574,-0.47884,0.9608,115.67,0.0896,40.86,3.90,0.477,0.498,0.080,0.0090,0.0500
11300,-41.51296,-21.49337,-20.01959,-6.60360,-12.93725,-0.47875,0.9615,25.83,0.0200,40.65,4.08,0.477,0.498,0.080,0.0090,0.0500
11325,-41.52667,-21.51543,-20.01123,-6.59264,-12.93225,-0.48635,0.9599,26.05,0.0202,39.90,4.46,0.477,0.498,0.080,0.0090,0.0500
11350,-41.51766,-21.51409,-20.00357,-6.57709,-12.93545,-0.49103,0.9576,25.87,0.0200,40.45,4.13,0.477,0.498,0.080,0.0090,0.0500
11375,-41.45809,-21.48320,-19.97489,-6.57644,-12.88849,-0.50996,0.9575,26.03,0.0202,40.56,4.15,0.477,0.498,0.080,0.0090,0.0500
11400,-41.49125,-21.50993,-19.98132,-6.58848,-12.90625,-0.48658,0.9593,25.64,0.0199,40.52,4.23,0.477,0.498,0.080,0.0090,0.0500
11425,-41.43928,-21.49139,-19.94789,-6.56854,-12.87509,-0.50426,0.9564,25.90,0.0201,40.72,4.21,0.477,0.498,0.080,0.0090,0.0500
11450,-41.51413,-21.48167,-20.03246,-6.59698,-12.94949,-0.48599,0.9605,115.62,0.0896,40.81,3.82,0.477,0.498,0.080,0.0090,0.0500
11475,-41.49880,-21.51135,-19.98745,-6.58295,-12.90922,-0.49528,0.9585,25.48,0.0197,41.18,3.69,0.477,0.498,0.080,0.0090,0.0500
11500,-41.46988,-21.50799,-19.96189,-6.56944,-12.89903,-0.49342,0.9565,25.55,0.0198,40.14,4.34,0.477,0.498,0.080,0.0090,0.0500
11525,-41.55330,-21.56150,-19.99180,-6.58584,-12.90798,-0.49798,0.9589,25.67,0.0199,40.46,4.34,0.477,0.498,0.080,0.0090,0.0500
11550,-41.54366,-21.52293,-20.02073,-6.60791,-12.93144,-0.48138,0.9621,25.55,0.0198,40.08,4.43,0.477,0.498,0.080,0.0090,0.0500
11575,-41.45286,-21.50512,-19.94774,-6.57709,-12.88017,-0.49048,0.9576,25.59,0.0198,40.21,4.45,0.478,0.498,0.080,0.0090,0.0500
11600,-41.48317,-21.49297,-19.99020,-6.58215,-12.90916,-0.49888,0.9584,25.47,0.0197,40.45,4.41,0.478,0.498,0.080,0.0090,0.0500
11625,-41.48867,-21.49038,-19.99829,-6.59633,-12.91797,-0.48399,0.9604,25.87,0.0200,39.71,4.72,0.478,0.498,0.080,0.0090,0.0500
11650,-41.52549,-21.52651,-19.99899,-6.57249,-12.93364,-0.49286,0.9570,25.77,0.0200,39.87,4.64,0.478,0.498,0.080,0.0090,0.0500
11675,-41.47104,-21.50124,-19.96980,-6.60436,-12.88226,-0.48318,0.9616,25.83,0.0200,39.71,4.61,0.478,0.498,0.080,0.0090,0.0500
11700,-41.46326,-21.45116,-20.01209,-6.59931,-12.92444,-0.48834,0.9609,25.79,0.0200,39.68,4.64,0.478,0.498,0.080,0.0090,0.0500
11725,-41.44424,-21.49657,-19.94768,-6.58297,-12.85882,-0.50588,0.9585,25.59,0.0198,39.95,4.52,0.478,0.498,0.080,0.0090,0.0500
11750,-41.37082,-21.41595,-19.95487,-6.58438,-12.87842,-0.49207,0.9587,25.51,0.0198,39.88,4.65,0.478,0.498,0.080,0.0090,0.0500
11775,-41.42080,-21.44333,-19.97747,-6.58052,-12.89837,-0.49858,0.9581,25.85,0.0200,40.33,4.42,0.478,0.498,0.080,0.0090,0.0500
11800,-41.46638,-21.47675,-19.98963,-6.59476,-12.90904,-0.48583,0.9602,25.69,0.0199,39.58,4.73,0.478,0.498,0.080,0.0090,0.0500
